Iteration,File Group,Num Channels,Channel,Files Sent,Total Size (MB),Time Taken (s),Bandwidth (MB/s)
1,small,1,Channel 1,10,68.0,1.090763807296753,62.34163578320851
1,small,2,Channel 1,5,37.0,1.3293590545654297,27.832961962331073
1,small,2,Channel 2,5,31.0,1.4672770500183105,21.127570965287806
1,small,3,Channel 1,4,28.0,1.3197364807128906,21.216356756975497
1,small,3,Channel 2,3,20.0,1.1613149642944336,17.22185678727662
1,small,3,Channel 3,3,20.0,1.181164264678955,16.93244589094987
1,small,4,Channel 1,3,20.0,1.315809726715088,15.199766040588479
1,small,4,Channel 2,3,23.0,1.3828060626983643,16.632845791201206
1,small,4,Channel 3,2,11.0,1.0282924175262451,10.697346214477212
1,small,4,Channel 4,2,14.0,1.2323119640350342,11.360759619795418
1,small,5,Channel 1,2,13.0,1.2328059673309326,10.545049541044524
1,small,5,Channel 2,2,15.0,1.5931355953216553,9.415394423455519
1,small,5,Channel 3,2,15.0,1.5740845203399658,9.529348523648748
1,small,5,Channel 4,2,11.0,1.4904706478118896,7.380219138262625
1,small,5,Channel 5,2,14.0,1.5166070461273193,9.231132108840736
1,small,6,Channel 1,2,13.0,1.0829746723175049,12.003974176220328
1,small,6,Channel 2,2,15.0,1.265399694442749,11.853962084766925
1,small,6,Channel 3,2,15.0,1.243795394897461,12.059861341773667
1,small,6,Channel 4,2,11.0,1.0726935863494873,10.254559307504017
1,small,6,Channel 5,1,5.0,0.603107213973999,8.290399922517853
1,small,6,Channel 6,1,9.0,0.9246406555175781,9.733511009162957
1,small,7,Channel 1,2,13.0,1.0443530082702637,12.447898265292098
1,small,7,Channel 2,2,15.0,1.03342866897583,14.514789893399813
1,small,7,Channel 3,2,15.0,1.043835163116455,14.3700849808664
1,small,7,Channel 4,1,5.0,0.4075937271118164,12.267117149789538
1,small,7,Channel 5,1,6.0,0.7849540710449219,7.64375932468618
1,small,7,Channel 6,1,5.0,0.5244269371032715,9.534216582424307
1,small,7,Channel 7,1,9.0,0.9354522228240967,9.621015141563642
1,small,8,Channel 1,2,13.0,0.8525733947753906,15.247954111240867
1,small,8,Channel 2,2,15.0,0.932159423828125,16.09166803077427
1,small,8,Channel 3,1,9.0,0.7770304679870605,11.58255740384928
1,small,8,Channel 4,1,6.0,0.6294870376586914,9.531570375644822
1,small,8,Channel 5,1,5.0,0.566868782043457,8.820383408618703
1,small,8,Channel 6,1,6.0,0.6261928081512451,9.581713366709272
1,small,8,Channel 7,1,5.0,0.46440768241882324,10.766402428913267
1,small,8,Channel 8,1,9.0,0.7102270126342773,12.6720046406267
1,small,9,Channel 1,2,13.0,0.9804353713989258,13.259415540517537
1,small,9,Channel 2,1,7.0,0.7532751560211182,9.292753045214933
1,small,9,Channel 3,1,8.0,0.894932746887207,8.939219207058786
1,small,9,Channel 4,1,9.0,0.9137890338897705,9.849100466536854
1,small,9,Channel 5,1,6.0,0.7616097927093506,7.878049963952802
1,small,9,Channel 6,1,5.0,0.6319637298583984,7.911846461695404
1,small,9,Channel 7,1,6.0,0.7314302921295166,8.203105702023018
1,small,9,Channel 8,1,5.0,0.6782734394073486,7.371658256836392
1,small,9,Channel 9,1,9.0,0.8709726333618164,10.333275300811032
1,small,10,Channel 1,1,5.0,0.6453385353088379,7.747871429384213
1,small,10,Channel 2,1,8.0,0.9902184009552002,8.079025790959765
1,small,10,Channel 3,1,7.0,0.9568264484405518,7.3158512825483575
1,small,10,Channel 4,1,8.0,0.9927127361297607,8.058726063281103
1,small,10,Channel 5,1,9.0,1.0679855346679688,8.427080431195217
1,small,10,Channel 6,1,6.0,0.9186007976531982,6.53167296972585
1,small,10,Channel 7,1,5.0,0.8360376358032227,5.980592004325563
1,small,10,Channel 8,1,6.0,0.9181137084960938,6.535138234487572
1,small,10,Channel 9,1,5.0,0.8279569149017334,6.038961581223617
1,small,10,Channel 10,1,9.0,0.9815795421600342,9.168895248361506
1,small,11,Channel 1,1,5.0,0.619600772857666,8.069712335798837
1,small,11,Channel 2,1,8.0,0.8928258419036865,8.960314122340334
1,small,11,Channel 3,1,7.0,0.8345789909362793,8.38746251226261
1,small,11,Channel 4,1,8.0,0.8720316886901855,9.173978542014005
1,small,11,Channel 5,1,9.0,0.8842122554779053,10.178551523395948
1,small,11,Channel 6,1,6.0,0.8577010631561279,6.99544428442409
1,small,11,Channel 7,1,5.0,0.752479076385498,6.644703031501277
1,small,11,Channel 8,1,6.0,0.6895842552185059,8.700894712421768
1,small,11,Channel 9,1,5.0,0.7392795085906982,6.763341796841616
1,small,11,Channel 10,1,9.0,0.7217211723327637,12.470189797688759
1,small,11,Channel 11,0,0.0,0,0.0
1,small,12,Channel 1,1,5.0,0.23498058319091797,21.278353862700136
1,small,12,Channel 2,1,8.0,0.8929286003112793,8.959282967542041
1,small,12,Channel 3,1,7.0,0.8545210361480713,8.191723437908486
1,small,12,Channel 4,1,8.0,0.7860531806945801,10.17742844438459
1,small,12,Channel 5,1,9.0,0.874483585357666,10.291788377387297
1,small,12,Channel 6,1,6.0,0.7412745952606201,8.094166505045944
1,small,12,Channel 7,1,5.0,0.7146766185760498,6.996171233308569
1,small,12,Channel 8,1,6.0,0.7326009273529053,8.189997822797878
1,small,12,Channel 9,1,5.0,0.5613317489624023,8.907388561652331
1,small,12,Channel 10,1,9.0,0.7906427383422852,11.383143819002255
1,small,12,Channel 11,0,0.0,0,0.0
1,small,12,Channel 12,0,0.0,0,0.0
1,small,13,Channel 1,1,5.0,0.620413064956665,8.059146852990986
1,small,13,Channel 2,1,8.0,0.8550078868865967,9.356638836550374
1,small,13,Channel 3,1,7.0,0.8707902431488037,8.038675278087394
1,small,13,Channel 4,1,8.0,0.9115290641784668,8.776461787546133
1,small,13,Channel 5,1,9.0,0.9321236610412598,9.655371251863997
1,small,13,Channel 6,1,6.0,0.8338830471038818,7.195253604013542
1,small,13,Channel 7,1,5.0,0.7446994781494141,6.714117770600635
1,small,13,Channel 8,1,6.0,0.8402040004730225,7.141122866139757
1,small,13,Channel 9,1,5.0,0.7925713062286377,6.3085806421531245
1,small,13,Channel 10,1,9.0,0.8763525485992432,10.269839477714246
1,small,13,Channel 11,0,0.0,0,0.0
1,small,13,Channel 12,0,0.0,0,0.0
1,small,13,Channel 13,0,0.0,0,0.0
1,small,14,Channel 1,1,5.0,0.7066435813903809,7.0757028460685625
1,small,14,Channel 2,1,8.0,0.976689338684082,8.190936138177365
1,small,14,Channel 3,1,7.0,0.9172170162200928,7.631781657134346
1,small,14,Channel 4,1,8.0,0.9672040939331055,8.271263583540314
1,small,14,Channel 5,1,9.0,1.0576186180114746,8.509683780833702
1,small,14,Channel 6,1,6.0,0.8184542655944824,7.330892210137011
1,small,14,Channel 7,1,5.0,0.7681336402893066,6.509283980996876
1,small,14,Channel 8,1,6.0,0.8321285247802734,7.21042461750043
1,small,14,Channel 9,1,5.0,0.7799992561340332,6.41026252355914
1,small,14,Channel 10,1,9.0,0.9597880840301514,9.377069948825566
1,small,14,Channel 11,0,0.0,0,0.0
1,small,14,Channel 12,0,0.0,0,0.0
1,small,14,Channel 13,0,0.0,0,0.0
1,small,14,Channel 14,0,0.0,0,0.0
1,small,15,Channel 1,1,5.0,0.7908203601837158,6.32254839624823
1,small,15,Channel 2,1,8.0,1.0312001705169678,7.757950617860536
1,small,15,Channel 3,1,7.0,0.9771318435668945,7.163823434970042
1,small,15,Channel 4,1,8.0,1.0410470962524414,7.684570687338142
1,small,15,Channel 5,1,9.0,1.0638186931610107,8.46008822542643
1,small,15,Channel 6,1,6.0,0.8740942478179932,6.864248351911521
1,small,15,Channel 7,1,5.0,0.8535683155059814,5.857761949652596
1,small,15,Channel 8,1,6.0,0.9433431625366211,6.360357755566047
1,small,15,Channel 9,1,5.0,0.7779338359832764,6.4272818184855085
1,small,15,Channel 10,1,9.0,1.0029025077819824,8.973953031490952
1,small,15,Channel 11,0,0.0,0,0.0
1,small,15,Channel 12,0,0.0,0,0.0
1,small,15,Channel 13,0,0.0,0,0.0
1,small,15,Channel 14,0,0.0,0,0.0
1,small,15,Channel 15,0,0.0,0,0.0
1,small,16,Channel 1,1,5.0,0.35111021995544434,14.240542473057312
1,small,16,Channel 2,1,8.0,0.8108630180358887,9.86603140364939
1,small,16,Channel 3,1,7.0,0.42622947692871094,16.423078127866756
1,small,16,Channel 4,1,8.0,0.8233499526977539,9.716403060190306
1,small,16,Channel 5,1,9.0,0.8420124053955078,10.688678625551299
1,small,16,Channel 6,1,6.0,0.755866289138794,7.937911884966027
1,small,16,Channel 7,1,5.0,0.6538617610931396,7.646876293302267
1,small,16,Channel 8,1,6.0,0.7183377742767334,8.35261657517756
1,small,16,Channel 9,1,5.0,0.6438851356506348,7.765360191065114
1,small,16,Channel 10,1,9.0,0.6845841407775879,13.14666739106359
1,small,16,Channel 11,0,0.0,0,0.0
1,small,16,Channel 12,0,0.0,0,0.0
1,small,16,Channel 13,0,0.0,0,0.0
1,small,16,Channel 14,0,0.0,0,0.0
1,small,16,Channel 15,0,0.0,0,0.0
1,small,16,Channel 16,0,0.0,0,0.0
1,small,17,Channel 1,1,5.0,0.5205020904541016,9.606109354215755
1,small,17,Channel 2,1,8.0,1.1529831886291504,6.938522676563629
1,small,17,Channel 3,1,7.0,1.2513518333435059,5.593950329138524
1,small,17,Channel 4,1,8.0,1.2824058532714844,6.238274708113334
1,small,17,Channel 5,1,9.0,1.2669141292572021,7.1038753078527455
1,small,17,Channel 6,1,6.0,1.0194480419158936,5.8855378138977406
1,small,17,Channel 7,1,5.0,0.9614882469177246,5.200271574851454
1,small,17,Channel 8,1,6.0,1.154362440109253,5.197674310532954
1,small,17,Channel 9,1,5.0,0.8570277690887451,5.834116676658409
1,small,17,Channel 10,1,9.0,1.215571641921997,7.403923956114737
1,small,17,Channel 11,0,0.0,0,0.0
1,small,17,Channel 12,0,0.0,0,0.0
1,small,17,Channel 13,0,0.0,0,0.0
1,small,17,Channel 14,0,0.0,0,0.0
1,small,17,Channel 15,0,0.0,0,0.0
1,small,17,Channel 16,0,0.0,0,0.0
1,small,17,Channel 17,0,0.0,0,0.0
1,small,18,Channel 1,1,5.0,0.6228845119476318,8.027170212285466
1,small,18,Channel 2,1,8.0,1.0327200889587402,7.746532759003607
1,small,18,Channel 3,1,7.0,0.9345388412475586,7.490325378724099
1,small,18,Channel 4,1,8.0,1.0064160823822021,7.94899857031684
1,small,18,Channel 5,1,9.0,1.087113380432129,8.278805285629442
1,small,18,Channel 6,1,6.0,0.9932615756988525,6.0407048322376085
1,small,18,Channel 7,1,5.0,0.8850092887878418,5.649658216410677
1,small,18,Channel 8,1,6.0,0.9291529655456543,6.457494322774335
1,small,18,Channel 9,1,5.0,0.8091244697570801,6.179518957696494
1,small,18,Channel 10,1,9.0,0.9948060512542725,9.04698960028702
1,small,18,Channel 11,0,0.0,0,0.0
1,small,18,Channel 12,0,0.0,0,0.0
1,small,18,Channel 13,0,0.0,0,0.0
1,small,18,Channel 14,0,0.0,0,0.0
1,small,18,Channel 15,0,0.0,0,0.0
1,small,18,Channel 16,0,0.0,0,0.0
1,small,18,Channel 17,0,0.0,0,0.0
1,small,18,Channel 18,0,0.0,0,0.0
1,small,19,Channel 1,1,5.0,0.831674337387085,6.011968597839346
1,small,19,Channel 2,1,8.0,1.1015512943267822,7.262485225337812
1,small,19,Channel 3,1,7.0,1.0588569641113281,6.610902357217741
1,small,19,Channel 4,1,8.0,1.1590361595153809,6.9022868133337445
1,small,19,Channel 5,1,9.0,1.1649901866912842,7.725386962752974
1,small,19,Channel 6,1,6.0,0.9791004657745361,6.128073890000231
1,small,19,Channel 7,1,5.0,0.8857853412628174,5.644708449195789
1,small,19,Channel 8,1,6.0,1.0089952945709229,5.946509396311418
1,small,19,Channel 9,1,5.0,0.8353521823883057,5.985499416192099
1,small,19,Channel 10,1,9.0,1.109647274017334,8.110685449995897
1,small,19,Channel 11,0,0.0,0,0.0
1,small,19,Channel 12,0,0.0,0,0.0
1,small,19,Channel 13,0,0.0,0,0.0
1,small,19,Channel 14,0,0.0,0,0.0
1,small,19,Channel 15,0,0.0,0,0.0
1,small,19,Channel 16,0,0.0,0,0.0
1,small,19,Channel 17,0,0.0,0,0.0
